Fcity,Flon,Flat,Finternal,Fcityname_cn,Fbj_code,分类,选取原因
4227,106.845599,-6.204268787,29001,雅加达,,海外热门,热带气候
4239,103.819836,1.353444839,24001,新加坡,,海外热门,国际化重点
4243,100.5241235,13.74208608,21001,曼谷,,海外热门,东南亚核心城市
4247,135.5021651,34.70583331,19002,大阪,,海外热门,日本核心城市
4248,139.6917064,35.69950357,19001,东京,,海外热门,日本核心城市
4253,101.686855,3.142674854,15001,吉隆坡,,海外热门,东南亚核心城市
4260,129.0756416,35.18964899,11002,釜山,,海外热门,韩国沿海城市
4261,126.9779692,37.58086833,11001,首尔,,海外热门,韩国核心城市
4262,120.9842195,14.6030649,10001,马尼拉,,海外热门,台风高发
188014,-60.18898769,46.15149372,570272,悉尼,,海外热门,南半球代表
109725,106.6593417,10.78723926,417262,胡志明市,,海外热门,热带气候
26121,-118.2339204,34.3329767,140837,洛杉矶县,,海外热门,北美沿海城市
285089,113.08081,28.24615,5489,长沙县,101250106,省会,华中代表
285316,87.409417,43.47136,5716,乌鲁木齐县,101130113,省会,干旱气候
285325,75.99379,39.467686,5725,喀什市,101130901,极端天气,干旱气候
285330,88.131842,47.827309,5730,阿勒泰市,101131401,极端天气,冰雪场景
